,algoritmo,tipoEntrada,tamEntrada,tempoGasto
102,shellSort,20000,crescente,16.61515235900879
103,shellSort,20000,decrescente,24.508237838745117
104,shellSort,20000,aleatorio,57.233333587646484
105,shellSort,50000,crescente,40.26460647583008
106,shellSort,50000,decrescente,82.489013671875
107,shellSort,50000,aleatorio,185.25099754333496
108,selectionSort,1000,crescente,24.184703826904297
109,selectionSort,1000,decrescente,15.418291091918945
110,selectionSort,1000,aleatorio,15.886068344116211
111,selectionSort,5000,crescente,399.93882179260254
112,selectionSort,5000,decrescente,464.2035961151123
113,selectionSort,5000,aleatorio,423.75969886779785
114,selectionSort,10000,crescente,1609.8902225494385
115,selectionSort,10000,decrescente,1901.8092155456543
116,selectionSort,10000,aleatorio,1663.0795001983643
117,selectionSort,15000,crescente,3966.301441192627
118,selectionSort,15000,decrescente,4443.51863861084
119,selectionSort,15000,aleatorio,3828.9742469787598
120,selectionSort,20000,crescente,6548.954486846924
121,selectionSort,20000,decrescente,7382.86566734314
122,selectionSort,20000,aleatorio,6560.247898101807
123,selectionSort,50000,crescente,38692.997217178345
124,selectionSort,50000,decrescente,46985.19968986511
125,selectionSort,50000,aleatorio,43984.2004776001
126,heapSort,1000,crescente,8.002042770385742
127,heapSort,1000,decrescente,0.0
128,heapSort,1000,aleatorio,7.995128631591797
129,heapSort,5000,crescente,24.806976318359375
130,heapSort,5000,decrescente,8.116722106933594
131,heapSort,5000,aleatorio,16.939163208007812
132,heapSort,10000,crescente,25.348663330078125
133,heapSort,10000,decrescente,23.89359474182129
134,heapSort,10000,aleatorio,24.308443069458008
135,heapSort,15000,crescente,40.65275192260742
136,heapSort,15000,decrescente,32.31167793273926
137,heapSort,15000,aleatorio,40.68589210510254
138,heapSort,20000,crescente,49.31759834289551
139,heapSort,20000,decrescente,48.87819290161133
140,heapSort,20000,aleatorio,56.51569366455078
141,heapSort,50000,crescente,145.78747749328613
142,heapSort,50000,decrescente,163.47241401672363
143,heapSort,50000,aleatorio,178.6818504333496
144,mergeSort,1000,crescente,8.921146392822266
145,mergeSort,1000,decrescente,0.0
146,mergeSort,1000,aleatorio,7.503032684326172
147,mergeSort,5000,crescente,16.49332046508789
148,mergeSort,5000,decrescente,23.989439010620117
149,mergeSort,5000,aleatorio,24.483680725097656
150,mergeSort,10000,crescente,74.17631149291992
151,mergeSort,10000,decrescente,66.10989570617676
152,mergeSort,10000,aleatorio,73.70114326477051
153,mergeSort,15000,crescente,138.29493522644043
154,mergeSort,15000,decrescente,148.19860458374023
155,mergeSort,15000,aleatorio,163.99145126342773
156,mergeSort,20000,crescente,271.04640007019043
157,mergeSort,20000,decrescente,269.73795890808105
158,mergeSort,20000,aleatorio,261.72876358032227
159,mergeSort,50000,crescente,1459.8355293273926
160,mergeSort,50000,decrescente,1544.2869663238525
161,mergeSort,50000,aleatorio,1507.5829029083252
